,Code,Name
0,BINHO.IS,1000 YATIRIMLAR HOLDİNG A.Ş.
1,AVOD.IS,A.V.O.D. KURUTULMUŞ GIDA VE TARIM ÜRÜNLERİ SANAYİ TİCARET A.Ş.
2,"A1CAP, ACP.IS",A1 CAPITAL YATIRIM MENKUL DEĞERLER A.Ş.
3,ACSEL.IS,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.
4,ADEL.IS,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.
5,ADESE.IS,ADESE GAYRİMENKUL YATIRIM A.Ş.
6,ADGYO.IS,ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
7,AFYON.IS,AFYON ÇİMENTO SANAYİ T.A.Ş.
8,AGHOL.IS,AG ANADOLU GRUBU HOLDİNG A.Ş.
9,AGESA.IS,AGESA HAYAT VE EMEKLİLİK A.Ş.
10,AGROT.IS,AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.
11,AHGAZ.IS,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.
12,AKSFA.IS,AK FAKTORİNG A.Ş.
13,AKFK.IS,AK FİNANSAL KİRALAMA A.Ş.
14,"AKM, AKMEN.IS",AK YATIRIM MENKUL DEĞERLER A.Ş.
15,AKBNK.IS,AKBANK T.A.Ş.
16,AKCKM.IS,AKÇA KİMYEVİ MADDELER NAKLİYAT TİCARET VE SANAYİ A.Ş.
17,AKCNS.IS,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.
18,AKDFA.IS,AKDENİZ FAKTORİNG A.Ş.
19,AKYHO.IS,AKDENİZ YATIRIM HOLDİNG A.Ş.
20,AKENR.IS,AKENERJİ ELEKTRİK ÜRETİM A.Ş.
21,AKFGY.IS,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
22,AKFYE.IS,AKFEN YENİLENEBİLİR ENERJİ A.Ş.
23,ATEKS.IS,AKIN TEKSTİL A.Ş.
24,AKSGY.IS,AKİŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
25,AKMGY.IS,AKMERKEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
26,AKSA.IS,AKSA AKRİLİK KİMYA SANAYİİ A.Ş.
27,AKSEN.IS,AKSA ENERJİ ÜRETİM A.Ş.
28,AKGRT.IS,AKSİGORTA A.Ş.
29,AKSUE.IS,AKSU ENERJİ VE TİCARET A.Ş.
30,AKTVK.IS,AKTİF BANK SUKUK VARLIK KİRALAMA A.Ş.
31,"AFB, AKTIF.IS",AKTİF YATIRIM BANKASI A.Ş.
32,ALCAR.IS,ALARKO CARRIER SANAYİ VE TİCARET A.Ş.
33,ALGYO.IS,ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
34,ALARK.IS,ALARKO HOLDİNG A.Ş.
35,"ALBRK, ALK.IS",ALBARAKA TÜRK KATILIM BANKASI A.Ş.
36,ALCTL.IS,ALCATEL LUCENT TELETAŞ TELEKOMÜNİKASYON A.Ş.
37,ALFAS.IS,ALFA SOLAR ENERJİ SANAYİ VE TİCARET A.Ş.
38,ALJF.IS,ALJ FİNANSMAN A.Ş.
39,ALKIM.IS,ALKİM ALKALİ KİMYA A.Ş.
40,ALKA.IS,ALKİM KAĞIT SANAYİ VE TİCARET A.Ş.
41,"ALNUS, ANC.IS",ALNUS YATIRIM MENKUL DEĞERLER A.Ş.
42,ALFIN.IS,ALTERNATİF FİNANSAL KİRALAMA A.Ş.
43,AYCES.IS,ALTIN YUNUS ÇEŞME TURİSTİK TESİSLER A.Ş.
44,ALMAD.IS,ALTINYAĞ MADENCİLİK VE ENERJİ YATIRIMLARI SANAYİ VE TİCARET A.Ş.
45,ANSGR.IS,ANADOLU ANONİM TÜRK SİGORTA ŞİRKETİ
46,AEFES.IS,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.
47,ANHYT.IS,ANADOLU HAYAT EMEKLİLİK A.Ş.
48,ASUZU.IS,ANADOLU ISUZU OTOMOTİV SANAYİ VE TİCARET A.Ş.
49,ANGEN.IS,ANATOLİA TANI VE BİYOTEKNOLOJİ ÜRÜNLERİ ARAŞTIRMA GELİŞTİRME SANAYİ VE TİCARET A.Ş.
50,ANELE.IS,ANEL ELEKTRİK PROJE TAAHHÜT VE TİCARET A.Ş.
51,ARCLK.IS,ARÇELİK A.Ş.
52,ARDYZ.IS,ARD GRUP BİLİŞİM TEKNOLOJİLERİ A.Ş.
53,ARENA.IS,ARENA BİLGİSAYAR SANAYİ VE TİCARET A.Ş.
54,ARNFK.IS,ARENA FİNANS FAKTORİNG A.Ş.
