Symbol,Name,Market_id
BINHO.IS,1000 YATIRIMLAR HOLDİNG A.Ş.,1
AVOD.IS,A.V.O.D. KURUTULMUŞ GIDA VE TARIM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,1
A1CAP.IS,A1 CAPITAL YATIRIM MENKUL DEĞERLER A.Ş.,1
ACSEL.IS,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,1
ADEL.IS,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,1
ADESE.IS,ADESE GAYRİMENKUL YATIRIM A.Ş.,1
ADGYO.IS,ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,1
AFYON.IS,AFYON ÇİMENTO SANAYİ T.A.Ş.,1
AGHOL.IS,AG ANADOLU GRUBU HOLDİNG A.Ş.,1
AGESA.IS,AGESA HAYAT VE EMEKLİLİK A.Ş.,1
AGROT.IS,AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.,1
AHGAZ.IS,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.,1
AKBNK.IS,AKBANK T.A.Ş.,1
AKCNS.IS,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,1
AKYHO.IS,AKDENİZ YATIRIM HOLDİNG A.Ş.,1
AKENR.IS,AKENERJİ ELEKTRİK ÜRETİM A.Ş.,1
AKFGY.IS,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,1
AKFYE.IS,AKFEN YENİLENEBİLİR ENERJİ A.Ş.,1
ATEKS.IS,AKIN TEKSTİL A.Ş.,1
AKSGY.IS,AKİŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,1
AKMGY.IS,AKMERKEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,1
AKSA.IS,AKSA AKRİLİK KİMYA SANAYİİ A.Ş.,1
AKSEN.IS,AKSA ENERJİ ÜRETİM A.Ş.,1
AKGRT.IS,AKSİGORTA A.Ş.,1
AKSUE.IS,AKSU ENERJİ VE TİCARET A.Ş.,1
ALCAR.IS,ALARKO CARRIER SANAYİ VE TİCARET A.Ş.,1
ALGYO.IS,ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,1
ALARK.IS,ALARKO HOLDİNG A.Ş.,1
ALBRK.IS,ALBARAKA TÜRK KATILIM BANKASI A.Ş.,1
ALCTL.IS,ALCATEL LUCENT TELETAŞ TELEKOMÜNİKASYON A.Ş.,1
ALFAS.IS,ALFA SOLAR ENERJİ SANAYİ VE TİCARET A.Ş.,1
ALKIM.IS,ALKİM ALKALİ KİMYA A.Ş.,1
ALKA.IS,ALKİM KAĞIT SANAYİ VE TİCARET A.Ş.,1
AYCES.IS,ALTIN YUNUS ÇEŞME TURİSTİK TESİSLER A.Ş.,1
ALMAD.IS,ALTINYAĞ MADENCİLİK VE ENERJİ YATIRIMLARI SANAYİ VE TİCARET A.Ş.,1
ANSGR.IS,ANADOLU ANONİM TÜRK SİGORTA ŞİRKETİ,1
AEFES.IS,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,1
ANHYT.IS,ANADOLU HAYAT EMEKLİLİK A.Ş.,1
ASUZU.IS,ANADOLU ISUZU OTOMOTİV SANAYİ VE TİCARET A.Ş.,1
