Symbol,Name
BINHO.IS,1000 YATIRIMLAR HOLDİNG A.Ş.
AVOD.IS,A.V.O.D. KURUTULMUŞ GIDA VE TARIM ÜRÜNLERİ SANAYİ TİCARET A.Ş.
A1CAP.IS,A1 CAPITAL YATIRIM MENKUL DEĞERLER A.Ş.
ACSEL.IS,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.
ADEL.IS,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.
ADESE.IS,ADESE GAYRİMENKUL YATIRIM A.Ş.
ADGYO.IS,ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
AFYON.IS,AFYON ÇİMENTO SANAYİ T.A.Ş.
AGHOL.IS,AG ANADOLU GRUBU HOLDİNG A.Ş.
AGESA.IS,AGESA HAYAT VE EMEKLİLİK A.Ş.
AGROT.IS,AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.
AHGAZ.IS,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.
AKBNK.IS,AKBANK T.A.Ş.
AKCNS.IS,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.
AKYHO.IS,AKDENİZ YATIRIM HOLDİNG A.Ş.
AKENR.IS,AKENERJİ ELEKTRİK ÜRETİM A.Ş.
AKFGY.IS,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
AKFYE.IS,AKFEN YENİLENEBİLİR ENERJİ A.Ş.
ATEKS.IS,AKIN TEKSTİL A.Ş.
AKSGY.IS,AKİŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
AKMGY.IS,AKMERKEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
AKSA.IS,AKSA AKRİLİK KİMYA SANAYİİ A.Ş.
AKSEN.IS,AKSA ENERJİ ÜRETİM A.Ş.
AKGRT.IS,AKSİGORTA A.Ş.
AKSUE.IS,AKSU ENERJİ VE TİCARET A.Ş.
ALCAR.IS,ALARKO CARRIER SANAYİ VE TİCARET A.Ş.
ALGYO.IS,ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
ALARK.IS,ALARKO HOLDİNG A.Ş.
ALBRK.IS,ALBARAKA TÜRK KATILIM BANKASI A.Ş.
ALCTL.IS,ALCATEL LUCENT TELETAŞ TELEKOMÜNİKASYON A.Ş.
ALFAS.IS,ALFA SOLAR ENERJİ SANAYİ VE TİCARET A.Ş.
ALKIM.IS,ALKİM ALKALİ KİMYA A.Ş.
ALKA.IS,ALKİM KAĞIT SANAYİ VE TİCARET A.Ş.
AYCES.IS,ALTIN YUNUS ÇEŞME TURİSTİK TESİSLER A.Ş.
ALMAD.IS,ALTINYAĞ MADENCİLİK VE ENERJİ YATIRIMLARI SANAYİ VE TİCARET A.Ş.
ANSGR.IS,ANADOLU ANONİM TÜRK SİGORTA ŞİRKETİ
AEFES.IS,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.
ANHYT.IS,ANADOLU HAYAT EMEKLİLİK A.Ş.
ASUZU.IS,ANADOLU ISUZU OTOMOTİV SANAYİ VE TİCARET A.Ş.
ANGEN.IS,ANATOLİA TANI VE BİYOTEKNOLOJİ ÜRÜNLERİ ARAŞTIRMA GELİŞTİRME SANAYİ VE TİCARET A.Ş.
ANELE.IS,ANEL ELEKTRİK PROJE TAAHHÜT VE TİCARET A.Ş.
ARCLK.IS,ARÇELİK A.Ş.
ARDYZ.IS,ARD GRUP BİLİŞİM TEKNOLOJİLERİ A.Ş.
ARENA.IS,ARENA BİLGİSAYAR SANAYİ VE TİCARET A.Ş.
ARSAN.IS,ARSAN TEKSTİL TİCARET VE SANAYİ A.Ş.
ARZUM.IS,ARZUM ELEKTRİKLİ EV ALETLERİ SANAYİ VE TİCARET A.Ş.
ASGYO.IS,ASCE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
ASELS.IS,ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.
ASTOR.IS,ASTOR ENERJİ A.Ş.
ATAGY.IS,ATA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
ATAKP.IS,ATAKEY PATATES GIDA SANAYİ VE TİCARET A.Ş.
AGYO.IS,ATAKULE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
ATSYH.IS,ATLANTİS YATIRIM HOLDİNG A.Ş.
ATLAS.IS,ATLAS MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.
ATATP.IS,ATP YAZILIM VE TEKNOLOJİ A.Ş.
AVGYO.IS,AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
AVTUR.IS,AVRASYA PETROL VE TURİSTİK TESİSLER YATIRIMLAR A.Ş.
AVHOL.IS,AVRUPA YATIRIM HOLDİNG A.Ş.
AVPGY.IS,AVRUPAKENT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
AYDEM.IS,AYDEM YENİLENEBİLİR ENERJİ A.Ş.
AYEN.IS,AYEN ENERJİ A.Ş.
AYES.IS,AYES ÇELİK HASIR VE ÇİT SANAYİ A.Ş.
AYGAZ.IS,AYGAZ A.Ş.
AZTEK.IS,AZTEK TEKNOLOJİ ÜRÜNLERİ TİCARET A.Ş.
BAGFS.IS,BAGFAŞ BANDIRMA GÜBRE FABRİKALARI A.Ş.
BAKAB.IS,BAK AMBALAJ SANAYİ VE TİCARET A.Ş.
BALAT.IS,BALATACILAR BALATACILIK SANAYİ VE TİCARET A.Ş.
BNTAS.IS,BANTAŞ BANDIRMA AMBALAJ SANAYİ TİCARET A.Ş.
BANVT.IS,BANVİT BANDIRMA VİTAMİNLİ YEM SANAYİİ A.Ş.
BARMA.IS,BAREM AMBALAJ SANAYİ VE TİCARET A.Ş.
BASGZ.IS,BAŞKENT DOĞALGAZ DAĞITIM GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
BASCM.IS,BAŞTAŞ BAŞKENT ÇİMENTO SANAYİ VE TİCARET A.Ş.
BEGYO.IS,BATI EGE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
BTCIM.IS,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş.
BSOKE.IS,BATISÖKE SÖKE ÇİMENTO SANAYİİ T.A.Ş.
BYDNR.IS,BAYDÖNER RESTORANLARI A.Ş.
BAYRK.IS,BAYRAK EBT TABAN SANAYİ VE TİCARET A.Ş.
BERA.IS,BERA HOLDİNG A.Ş.
BRKSN.IS,BERKOSAN YALITIM VE TECRİT MADDELERİ ÜRETİM VE TİCARET A.Ş.
BJKAS.IS,BEŞİKTAŞ FUTBOL YATIRIMLARI SANAYİ VE TİCARET A.Ş.
BEYAZ.IS,BEYAZ FİLO OTO KİRALAMA A.Ş.
